"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:WBGene00006925",93.9929301047301,-7.41499099519358,0.85794515955892,-8.64273306117341,5.48840467986251e-18,3.97848357015812e-15
"gene:WBGene00016534",13.6601678021946,-6.10065824052277,1.22395392127919,-4.98438555117073,6.2159024873426e-07,2.21598622007777e-05
"gene:WBGene00003410",5.46334703614813,-5.76336942929737,1.28112921740186,-4.49866364064783,6.83819498937425e-06,0.000164621343581836
"gene:WBGene00013867",3.85288558279489,-5.26288735861514,1.33664633981876,-3.93738208966237,8.23753860201794e-05,0.00129498076721844
"gene:WBGene00013392",1.86903968578599,-4.21547914111243,1.5333835036839,-2.74913557566316,0.00597526656262147,0.0378918809266958
"gene:WBGene00013393",6.35776322509579,-5.97950973938505,1.26591547700925,-4.72346680957859,2.31857813639417e-06,6.66361399199805e-05
"gene:WBGene00013394",4.33187603392831,-5.42635626600198,1.30853335068785,-4.14689947577533,3.37007935211891e-05,0.000597456459054993
"gene:WBGene00011011",2.45418662230926,-4.60671597798289,1.41895343822368,-3.24655894540826,0.00116809256257479,0.0108265619478934
"gene:WBGene00010492",3.73063698074563,-5.213780097561,1.33802942659858,-3.89661093688725,9.75481352844956e-05,0.00146636874330887
"gene:WBGene00010555",2.16000394238168,-4.42364574799676,1.46137812698622,-3.02703705927197,0.00246963678703554,0.0192726200940429
"gene:WBGene00006541",3.84054314761502,-3.24605576250386,1.20151585382946,-2.70163373388546,0.0068999725410425,0.0426686453628069
"gene:WBGene00010011",1.87447098828717,-4.21840702929587,1.52556678441925,-2.76514084626045,0.00568982226276219,0.0363569054282669
